"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2015Q4","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","627.11"
"RTB Average Monthly Rent Report","2015Q4","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2015Q4","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","All bedrooms","All property types","Graiguecullen, Carlow","Euro","586.84"
"RTB Average Monthly Rent Report","2016Q1","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","651"
"RTB Average Monthly Rent Report","2016Q1","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Three bed","All property types","Graiguecullen, Carlow","Euro","654.51"
"RTB Average Monthly Rent Report","2016Q1","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","661.27"
"RTB Average Monthly Rent Report","2016Q1","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","573.23"
"RTB Average Monthly Rent Report","2016Q1","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","649.47"
"RTB Average Monthly Rent Report","2016Q1","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q1","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","584.18"
"RTB Average Monthly Rent Report","2016Q2","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","669.95"
"RTB Average Monthly Rent Report","2016Q2","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Three bed","All property types","Graiguecullen, Carlow","Euro","673.71"
"RTB Average Monthly Rent Report","2016Q2","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","551.96"
"RTB Average Monthly Rent Report","2016Q2","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","569.65"
"RTB Average Monthly Rent Report","2016Q2","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","663.78"
"RTB Average Monthly Rent Report","2016Q2","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q2","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","All bedrooms","All property types","Graiguecullen, Carlow","Euro","614.03"
"RTB Average Monthly Rent Report","2016Q3","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","618.06"
"RTB Average Monthly Rent Report","2016Q3","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Three bed","All property types","Graiguecullen, Carlow","Euro","698.69"
"RTB Average Monthly Rent Report","2016Q3","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Three bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","596.83"
"RTB Average Monthly Rent Report","2016Q3","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q3","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro","611.89"
"RTB Average Monthly Rent Report","2016Q4","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","614.39"
"RTB Average Monthly Rent Report","2016Q4","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2016Q4","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
